"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"812","","480256202001","Camisa Distefano azul oscuro rayas blancas talla s","Standard","General","-1.00","0","Inclusivo","171.60","285.00"
"811","","480255504010","Camisa Distefano celeste sin mangas talla L","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"810","","480255503010","Camisa Distefano celeste sin mangas talla m","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"809","","480256204008","Camisa Distefano beige sin mangas talla L","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"808","","480256203008","Camisa Distefano beige sin mangas talla m","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"807","","480256202008","Camisa Distefano beige sin mangas talla s","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"806","","480255502010","Camisa Distefano celeste sin mangas talla s","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"805","","360402516001","Pantalón Distefano azul oscuro talla 34","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"804","","360402514001","Pantalón Distefano azul oscuro talla 32","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"803","","360402512001","Pantalón Distefano azul oscuro talla 30","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"802","","360402509001","Pantalón Distefano azul oscuro talla 28","Standard","Camisas","0.00","0","Inclusivo","207.60","325.00"
"801","","360402516002","Pantalón Distefano azul claro talla 34","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"800","","360402514002","Pantalón Distefano azul claro talla 32","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"799","","360502512002","Pantalón Distefano azul claro talla 30","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"798","","360402509002","Pantalón Distefano azul claro talla 28","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"797","","020434916004","Joguer Distefano verde olivo talla 34","Standard","General","1.00","0","Inclusivo","239.60","380.00"
"796","","040208403024","T-shirt Distefano crema estampado girasol talla m","Standard","General","0.00","0","Inclusivo","87.60","165.00"
"795","","040208402024","T-shirt Distefano crema estampado girasol talla S","Standard","General","-1.00","0","Inclusivo","87.60","165.00"
"794","","040208401024","T-shirt Distefano crema estampado girasol talla xs","Standard","General","0.00","0","Inclusivo","87.60","165.00"
"793","","040208703020","T-Shirt Distefano lila estampado craneo con flores talla m","Standard","General","0.00","0","Inclusivo","87.60","165.00"
"792","","040208702020","T-Shirt Distefano lila estampado craneo con flores talla S","Standard","General","0.00","0","Inclusivo","87.60","165.00"
"791","","020434914004","Joguer Distefano verde olivo talla 32","Standard","General","0.00","0","Inclusivo","239.00","380.00"
"790","","020434912004","Joguer Distefano verde olivo talla 30","Standard","General","1.00","0","Inclusivo","239.00","380.00"
"789","","020434609009","Pantalón Distefano formal kaki talla 28","Standard","General","3.00","0","Inclusivo","207.60","325.00"
"788","","060241303001","Sudadera Distefano azul marino con estampado Duality Crew New talla M","Standard","General","0.00","0","Inclusivo","259.00","380.00"
"787","","020435216009","joguer distefano beige talla 34","Standard","General","1.00","0","Inclusivo","279.00","385.00"
"786","","020435214009","joguer distefano beige talla 32","Standard","General","0.00","0","Inclusivo","279.00","385.00"
"785","","020435212009","joguer distefano beige talla 30","Standard","General","2.00","0","Inclusivo","279.00","385.00"
"783","","360499716001","pantalon distefano azul oscuro regular vintage fit talla 34","Standard","General","2.00","0","Inclusivo","207.00","325.00"
"782","","020435209007","Joguer Distefano negro talla 28","Standard","General","0.00","0","Inclusivo","279.60","385.00"
"781","","020435212007","Joguer Distefano negro talla 30","Standard","General","0.00","0","Inclusivo","279.60","385.00"
"780","","020435214007","Joguer Distefano negro talla 32","Standard","General","0.00","0","Inclusivo","279.60","385.00"
"779","","020435209009","Joguer Distefano kaky talla 28","Standard","General","0.00","0","Inclusivo","279.60","385.00"
"778","","020435216007","Joguer Distefano negro talla 34","Standard","General","0.00","0","Inclusivo","279.60","385.00"
"777","","030244403025","Jacket Distefano color vino talla m","Standard","General","0.00","0","Inclusivo","379.50","520.00"
"776","","040290103333","Camisa Levis a cuadros corinto con blanco talla xl","Standard","General","0.00","0","Inclusivo","414.00","550.00"
"775","","020233514012","Joguer gris distefano talla 28","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"774","","360499712001","pantalon distefano azul oscuro regular vintage fit talla 30","Standard","General","0.00","0","Inclusivo","207.66","325.00"
